Victim : *B151876AB1F58C2FFE355E296324D3403C6E10F5
Victim : *AA111F16AB37E2D6E256086D12CCE5F548DCD246
Attacker : 054.243.233 || NN Score : 0.0
Attacker : 098.137.250 || NN Score : 1.594835562886188e-05
Attacker : 198.011.132 || NN Score : 0.0
Attacker : 218.077.017 || NN Score : 1.8537350529271e-05
Attacker : 106.068.171 || NN Score : 0.0021456432677230547
Attacker : 061.244.110 || NN Score : 0.0001886851818204625
Attacker : 132.245.015 || NN Score : 0.18539204264323944
Attacker : 023.195.103 || NN Score : 1.715319834731477e-05
Attacker : 046.227.020 || NN Score : 0.0021456432677230547
Attacker : 023.092.023 || NN Score : 0.0
Attacker : 202.108.023 || NN Score : 0.0
Attacker : 187.005.218 || NN Score : 0.0
Attacker : 103.240.206 || NN Score : 0.0021456432677230547
Attacker : 074.119.118 || NN Score : 0.0
Attacker : 064.074.133 || NN Score : 0.0021456432677230547
Attacker : 064.012.091 || NN Score : 0.021456432677230554
Attacker : 209.183.105 || NN Score : 0.0
Attacker : 096.017.034 || NN Score : 0.17153198347314785
Attacker : 054.154.213 || NN Score : 0.00021456432677230544
Attacker : 101.079.144 || NN Score : 0.00017153198347314775
Attacker : 014.000.099 || NN Score : 0.0017153198347314776
Attacker : 101.191.036 || NN Score : 0.17153198347314785
Attacker : 146.201.058 || NN Score : 0.021456432677230554
Attacker : 216.039.055 || NN Score : 0.0018537350529271007
Attacker : 216.039.054 || NN Score : 0.0
Attacker : 174.035.050 || NN Score : 0.0017153198347314776
Attacker : 074.125.006 || NN Score : 0.00021456432677230544
Attacker : 206.190.036 || NN Score : 0.4020446658743153
Attacker : 210.101.073 || NN Score : 1.715319834731477e-05
Attacker : 090.180.241 || NN Score : 0.0021456432677230547
Attacker : 157.055.130 || NN Score : 0.0
Attacker : 014.000.067 || NN Score : 1.715319834731477e-05
Attacker : 058.169.128 || NN Score : 0.0021456432677230547
Attacker : 173.192.216 || NN Score : 0.16904662817321744
Attacker : 046.063.096 || NN Score : 1.715319834731477e-05
Attacker : 188.094.249 || NN Score : 0.0
Attacker : 203.172.138 || NN Score : 2.145643267723054e-05
Attacker : 216.052.192 || NN Score : 2.145643267723054e-05
Attacker : 038.101.220 || NN Score : 0.0
Attacker : 060.028.200 || NN Score : 0.00015948355628861885
Attacker : 070.054.063 || NN Score : 1.594835562886188e-05
Attacker : 023.013.205 || NN Score : 0.00016904662817321734
Attacker : 173.194.219 || NN Score : 0.0018758397870248839
Attacker : 121.054.054 || NN Score : 0.00018537350529271
Attacker : 074.125.137 || NN Score : 0.0017153198347314776
Attacker : 175.041.009 || NN Score : 0.00017153198347314775
Attacker : 074.201.141 || NN Score : 0.00020391085582198104
Attacker : 197.080.133 || NN Score : 0.00017153198347314775
Attacker : 175.041.007 || NN Score : 0.00017153198347314775
Attacker : 175.041.005 || NN Score : 0.017153198347314783
Attacker : 143.215.193 || NN Score : 0.5998381188565025
Attacker : 023.218.043 || NN Score : 0.0
Attacker : 108.082.081 || NN Score : 0.0018537350529271007
Attacker : 108.160.172 || NN Score : 0.0
Attacker : 104.020.023 || NN Score : 0.01853735052927101
Attacker : 198.041.209 || NN Score : 0.15948355628861896
Attacker : 197.088.114 || NN Score : 0.0021456432677230547
Attacker : 061.136.173 || NN Score : 0.0
Attacker : 050.016.244 || NN Score : 2.145643267723054e-05
Attacker : 191.234.005 || NN Score : 0.00021456432677230544
Attacker : 192.030.252 || NN Score : 0.0
Attacker : 184.029.162 || NN Score : 1.690466281732173e-05
Attacker : 211.090.025 || NN Score : 0.0
Attacker : 173.194.037 || NN Score : 0.37752194163655534
Attacker : 188.004.220 || NN Score : 0.0021456432677230547
Attacker : 190.192.167 || NN Score : 2.145643267723054e-05
Attacker : 054.243.203 || NN Score : 0.0
Attacker : 110.175.251 || NN Score : 1.594835562886188e-05
Attacker : 174.035.093 || NN Score : 0.0017153198347314776
Attacker : 017.178.106 || NN Score : 0.17092304574594014
Attacker : 111.206.108 || NN Score : 0.02039108558219811
Attacker : 017.178.100 || NN Score : 0.021456432677230554
Attacker : 082.148.102 || NN Score : 0.017170351545662096
Attacker : 132.245.048 || NN Score : 1.594835562886188e-05
Attacker : 076.216.205 || NN Score : 1.715319834731477e-05
Attacker : 064.004.054 || NN Score : 0.0
Attacker : 222.173.051 || NN Score : 1.715319834731477e-05
Attacker : 118.175.009 || NN Score : 0.0
Attacker : 177.000.213 || NN Score : 0.0
Attacker : 173.179.148 || NN Score : 1.594835562886188e-05
Attacker : 124.122.105 || NN Score : 2.145643267723054e-05
Attacker : 151.095.004 || NN Score : 0.17153198347314785
Attacker : 208.184.214 || NN Score : 0.18539204264323944
Attacker : 199.096.057 || NN Score : 0.039993783206501564
Attacker : 174.035.021 || NN Score : 1.715319834731477e-05
Attacker : 023.062.007 || NN Score : 0.00017153198347314775
Attacker : 002.223.133 || NN Score : 1.594835562886188e-05
Attacker : 066.155.016 || NN Score : 0.00018537350529271
Attacker : 203.079.095 || NN Score : 0.0021456432677230547
Attacker : 054.183.069 || NN Score : 0.0018537350529271007
Attacker : 119.031.253 || NN Score : 0.00017153198347314775
Attacker : 002.101.118 || NN Score : 1.594835562886188e-05
Attacker : 151.249.092 || NN Score : 0.00017153198347314775
Attacker : 151.249.094 || NN Score : 0.17154913667149518
Attacker : 183.089.165 || NN Score : 0.0021456432677230547
Attacker : 050.031.164 || NN Score : 0.00021456432677230544
Attacker : 069.025.027 || NN Score : 0.0015948355628861888
Attacker : 031.013.065 || NN Score : 0.41118191691172756
Attacker : 213.046.255 || NN Score : 0.0
Attacker : 142.129.056 || NN Score : 0.00017153198347314775
Attacker : 023.209.037 || NN Score : 0.0
Attacker : 005.079.077 || NN Score : 0.00021456432677230544
Attacker : 054.225.239 || NN Score : 0.0015948355628861888
Attacker : 179.001.008 || NN Score : 1.715319834731477e-05
Attacker : 170.149.168 || NN Score : 0.0
Attacker : 037.029.013 || NN Score : 0.0019040050165519402
Attacker : 068.067.152 || NN Score : 0.20409622932727386
Attacker : 068.067.153 || NN Score : 0.204267761310747
Attacker : 061.110.249 || NN Score : 1.715319834731477e-05
Attacker : 023.235.039 || NN Score : 0.0018696834085559625
Attacker : 192.012.031 || NN Score : 1.594835562886188e-05
Attacker : 054.192.204 || NN Score : 1.594835562886188e-05
Attacker : 142.047.212 || NN Score : 1.715319834731477e-05
Attacker : 054.192.161 || NN Score : 0.0
Attacker : 054.192.160 || NN Score : 0.0
Attacker : 143.127.102 || NN Score : 0.01853735052927101
Attacker : 064.053.032 || NN Score : 0.22537600281544332
Attacker : 112.080.023 || NN Score : 0.0
Attacker : 123.125.114 || NN Score : 0.0
Attacker : 091.190.216 || NN Score : 0.21456432677230558
Attacker : 089.228.167 || NN Score : 0.0
Attacker : 096.043.179 || NN Score : 1.594835562886188e-05
Attacker : 195.140.186 || NN Score : 0.0
Attacker : 180.149.134 || NN Score : 0.0
Attacker : 066.114.052 || NN Score : 0.17154913667149518
Attacker : 075.101.137 || NN Score : 0.00021456432677230544
Attacker : 094.059.014 || NN Score : 0.0021456432677230547
Attacker : 116.212.132 || NN Score : 1.715319834731477e-05
Attacker : 123.125.029 || NN Score : 0.00021456432677230544
Attacker : 119.082.081 || NN Score : 0.0021456432677230547
Attacker : 175.142.184 || NN Score : 1.594835562886188e-05
Attacker : 206.169.245 || NN Score : 0.0
Attacker : 112.208.011 || NN Score : 0.0021456432677230547
Attacker : 190.164.020 || NN Score : 0.17153198347314785
Attacker : 067.044.197 || NN Score : 0.00018537350529271
Attacker : 189.251.252 || NN Score : 0.17153198347314785
Attacker : 023.218.121 || NN Score : 1.715319834731477e-05
Attacker : 091.144.161 || NN Score : 0.0021456432677230547
Attacker : 208.065.246 || NN Score : 0.0
Attacker : 064.236.122 || NN Score : 0.0
Attacker : 173.194.207 || NN Score : 0.021456432677230554
Attacker : 094.098.107 || NN Score : 0.0021456432677230547
Attacker : 121.054.044 || NN Score : 0.00018537350529271
Attacker : 054.183.234 || NN Score : 0.0021456432677230547
Attacker : 190.108.090 || NN Score : 1.715319834731477e-05
Attacker : 066.102.255 || NN Score : 0.0
Attacker : 158.085.043 || NN Score : 2.145643267723054e-05
Attacker : 209.222.154 || NN Score : 0.0016904662817321737
Attacker : 123.125.115 || NN Score : 1.8537350529271e-05
Attacker : 054.225.099 || NN Score : 0.0
Attacker : 200.202.234 || NN Score : 0.0021456432677230547
Attacker : 175.041.012 || NN Score : 1.715319834731477e-05
Attacker : 175.041.015 || NN Score : 0.17153198347314785
Attacker : 071.017.063 || NN Score : 0.0018537350529271007
Attacker : 054.243.148 || NN Score : 0.0021456432677230547
Attacker : 190.231.220 || NN Score : 0.17153198347314785
Attacker : 095.128.060 || NN Score : 0.0017153198347314776
Attacker : 223.204.041 || NN Score : 0.0021456432677230547
Attacker : 074.121.139 || NN Score : 0.01853735052927101
Attacker : 186.094.195 || NN Score : 0.0021456432677230547
Attacker : 004.079.082 || NN Score : 0.017170351545662096
Attacker : 203.219.227 || NN Score : 1.594835562886188e-05
Attacker : 096.036.203 || NN Score : 1.594835562886188e-05
Attacker : 122.108.251 || NN Score : 0.0
Attacker : 208.167.254 || NN Score : 0.0021456432677230547
Attacker : 110.164.254 || NN Score : 0.0
Attacker : 193.235.203 || NN Score : 0.0
Attacker : 017.173.066 || NN Score : 0.00018537350529271
Attacker : 014.000.041 || NN Score : 1.715319834731477e-05
Attacker : 199.027.076 || NN Score : 1.690466281732173e-05
Attacker : 213.093.201 || NN Score : 0.0021456432677230547
Attacker : 212.202.082 || NN Score : 0.0
